ID,Название (Title):,Описание( Summary):,Приоритет (Priority),Предусловия (Preconditions),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):,Фактический результат,Совпадение ожидаемого результата с фактическим да  / нет  ,Отметка о покрытии (если есть) / причина почему не может быть покрыт,Мой комментарий/вопрос,Комментарий руководителя
CANCEL при редактировании новостей в Editing news,,,,,,,,,,,
6-NCPENC-1,Работа кнопки CANCEL в форме Editing News,Переход к диалоговому окну,Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active

- Существующая новость открыта в в режиме редактирования в форме Editing News
- Все поля обязательные поля заполнены валидными значениями","- в форме Editing News кликнуть кнопку Cancell
","- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK","- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK",да,Покрыт ручным тестом.  Может быть автоматизирован,,
6-NCPENC-2,"Работа кнопки CANCEL  в диалоговом окне при редактировании новости, все поля заполнены валидными значениями, изменения не вносятся","Возвращение в форму Editing News, значения в раннее заполненных полях не изменяются",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active

- Существующая новость открыта в в режиме редактирования в форме Editing News
- Все поля обязательные поля заполнены валидными значениями","- в форме Editing News кликнуть кнопку Cancell
- в открывшемя диалоговом окне  The changes won't be saved? do you really want to log out? кликнуть кнопку CANCEL
","- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK
- возвращение в форму Editing News, значения в раннее заполненных полях не изменяется","- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK
- возвращение в форму Editing News, значения в раннее заполненных полях не изменяется",да,Покрыт ручным тестом.  Может быть автоматизирован,,
6-NCPENC-3,"Работа кнопки CANCEL  в диалоговом окне при редактировании новости, все поля заполнены валидными значениями, вносятся изменения во все поля","Возвращение в форму Editing News, значения в раннее заполненных полях не изменяются",ВЫсокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active

- Существующая новость открыта в в режиме редактирования в форме Editing News
- Все поля обязательные поля заполнены валидными значениями","- в форме Editing News внести изменнения во все обязательные поля
- в форме Editing News кликнуть кнопку Cancell
- в открывшемя диалоговом окне  The changes won't be saved? do you really want to log out? кликнуть кнопку CANCEL

","- поля принимают изменения
- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK
- возвращение в форму Editing News, внесённые изменения не сохраняются","- поля принимают изменения
- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK
- возвращение в форму Editing News, внесённые изменения не сохраняются",,Покрыт ручным тестом.  Может быть автоматизирован,,
6-NCPENC-4,"Работа кнопки OK  в диалоговом окне при редактировании новостей, все поля заполнены валидными значениями, изменения не вносятся","Переход на страницу Control panel, новость отображается без изменений",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active

- Существующая новость открыта в в режиме редактирования в форме Editing News
- Все поля обязательные поля заполнены валидными значениями","- в форме Editing News кликнуть кнопку Cancell
- в открывшемя диалоговом окне  The changes won't be saved? do you really want to log out? кликнуть кнопку OK","- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK
- переход на страницу Control panel
- в списке новостей отображается панель новости без изменений","- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK
- переход на страницу Control panel
- в списке новостей отображается панель новости без изменений",да,Покрыт ручным тестом.  Может быть автоматизирован,,
6-NCPENC-5,"Работа кнопки OK  в диалоговом окне при редактировании новостей, все поля заполнены валидными значениями,  в процессе редактирования внесены изменения в каждое поле","Переход на страницу Control panel, новость отображается без изменений",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active

- Существующая новость открыта в в режиме редактирования в форме Editing News
- Все поля обязательные поля заполнены валидными значениями","- в форме Editing News внести изменнения во все обязательные поля
- в форме Editing News кликнуть кнопку Cancell
- в открывшемя диалоговом окне  The changes won't be saved? do you really want to log out? кликнуть кнопку OK","- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK
- переход на страницу Control panel
- в списке новостей отображается панель новости, внесённые изменения не сохраняются","- открывается диалоговое окно: The changes won't be saved? do you really want to log out?
- видны две кнопки выбора CANCEL и OK
- переход на страницу Control panel
- в списке новостей отображается панель новости, внесённые изменения не сохраняются",да,Покрыт ручным тестом.  Может быть автоматизирован,,
7-NND (News News Delation) Удаление новостей,,,,,,,,,,,
7-NND-1,Удаление новости со страницы Control panel,Для удаления новости - кликнуть значок Корзинв в карточке новости,Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active


","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Поле Title заполнить 1-60 знакаками на кириллице, кликнуть Ok
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице
- Кликнуть по кнопке SAVE
- На открывшейся странице Control panel  в панели созданной новости кликнуть значок Корзина 
- В открывшемся диалоговом окне выбрать Ок","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- В списке новостей отображается созданная новость. Значок категории, заголовок, дата публикации отображаются верно. В нижней части панели отображается иконка Корзина
- Открывается диалоговое окно ""Are you shure you want to permanently delete the document?These changes cannot be reversed in the future.""  и две кнопки  выбора действия: CANCEL и Ok
- Произошел переход на страницу Control panel
- Удалёная новость не отображается на странице Control panel
","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- В списке новостей отображается созданная новость. Значок категории, заголовок, дата публикации отображаются верно. В нижней части панели отображается иконка Корзина
- Открывается диалоговое окно ""Are you shure you want to permanently delete the document?These changes cannot be reversed in the future.""  и две кнопки  выбора действия: CANCEL и Ok
- Произошел переход на страницу Control panel
- Удалёная новость не отображается на странице Control panel",да,Покрыт ручным тестом.  Может быть автоматизирован,,
7-NND-2,Удаление новости  со страницы News,После удаления со страницы Control panel (созданиеи редактирование) новость не отображается на странице News (чтение),Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Поле Title заполнить 1-60 знакаками на кириллице, кликнуть Ok
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице
- Кликнуть по кнопке SAVE
- На открывшейся странице Control panel  в панели созданной новости кликнуть значок Корзина 
- В открывшемся диалоговом окне выбрать Ок
- на открывшейся странице Control Panel в верхней панели приложения кликнуть по иконке  с тремя полосками
- в раскрывшемся списке выбрать News
","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- В списке новостей отображается созданная новость. Значок категории, заголовок, дата публикации отображаются верно. В нижней части панели отображается иконка Корзина
- Открывается диалоговое окно ""Are you shure you want to permanently delete the document?These changes cannot be reversed in the future.""  и две кнопки  выбора действия: CANCEL и Ok
- Произошел переход на страницу Control panel, удалёная новость не отображается
- Открывается выпадающий список Main, News, About
- Произошел переход на страницу News
- Удалённая новость не отображается на странице  News

","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- В списке новостей отображается созданная новость. Значок категории, заголовок, дата публикации отображаются верно. В нижней части панели отображается иконка Корзина
- Открывается диалоговое окно ""Are you shure you want to permanently delete the document?These changes cannot be reversed in the future.""  и две кнопки  выбора действия: CANCEL и Ok
- Произошел переход на страницу Control panel, удалёная новость не отображается
- Открывается выпадающий список Main, News, About
- Произошел переход на страницу News
- Удалённая новость не отображается на странице  News",да,Покрыт ручным тестом.  Может быть автоматизирован,,
8-CPS (Control panel Sort) Сортировка  новостей на странице Control panel,,,,,,,,,,,
8-CPS-1,Работа кнопки сортировки при наличае двух и более новостей с разными датами,Сортировка новостей может идти от более поздней даты создания к более ранней и наоборот - от более ранней к более поздней,Высокий,"- Полльзователь авторизован в приложении
- Открыта страница   Control panel на основном экране
- Видна панель управления страницы  Control panel
- Новости расположены от более новых (по дате создания) к более старым (по дате создания)
","1. Кликнуть по кнопке сортировки новостей (стрелки вверх/вниз)  в панели управления страницы Control panel
2. Повторно кликнуть по кнопке сортировки новостей (стрелки вверх/вниз)  в панели управления страницы Control panel","1. Новости расположены от более старых (по дате создания) к более новым (по дате создания)
2. Новости расположены от более новых (по дате создания) к более старым (по дате создания","1. Новости расположены от более старых (по дате создания) к более новым (по дате создания)
2. Новости расположены от более новых (по дате создания) к более старым (по дате создания",да,Покрыт ручным тестом.  Может быть автоматизирован,,
8-CPS-2,,,,,,,,,,,
"9-CPFN (Control panel Filter News)  фильтрация новостей на странице Control panel, форма Filter News",,,,,,,,,,,
9-CPFN-1,Переход на страницу фильтрации новостей Filter news из панели управления страницы Control panel,Переход на страницу Filter news,Высокий,"- Полльзователь авторизован в приложении
- Открыта страница Control panel на основном экране
- Видна панель управления страницы Control panel",-  Кликнуть по кнопке фильтрации новостей в панели управления страницы Control panel (три горизонтальные полоски с кружками),"- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel ","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel ",да,Покрыт ручным тестом.  Может быть автоматизирован,,
9-CPFN-2,"Фильтрация новостей по категории без выбора начальной и конечной даты в Control panel,  чек боксы Active и Not active отмечены","Выбирается только категория новости (Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь)",Высокий,"- Полльзователь авторизован в приложении
- Открыта страница Control panel на основном экране
- Видна панель управления страницы Control panel","-  Кликнуть по кнопке фильтрации новостей в панели управления страницы Control panel (три горизонтальные полоски с кружками)
-  Кликнуть по полю Category
-  В раскрывшемся списке выбрать одну из категорий (пусть это будет Праздник)
- Поле начальной даты оставитm пустым
- Поле конечной даты оставить пустым
- чек бокс Active отмечен по умолчанию
- чек бокс Not active отмечен по умолчанию
- Кликнуть по кнопке FILTER","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
- поле Category принимает значение
- поле начальной даты остаётся без даты
- поле конечной даты остается без даты
- чек бокс Active отмечен 
- чек бокс Not active отмечен 
- Отображается список новстей выбранной категории (например Праздник), если есть новости в выбранной категории. Если новостей в выбранной категории нет, появляется сообщение: There is nothing here yet... и кнопка REFRESH","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
- поле Category принимает значение
- поле начальной даты остаётся без даты
- поле конечной даты остается без даты
- чек бокс Active отмечен 
- чек бокс Not active отмечен 
- Отображается список новстей выбранной категории (например Праздник), если есть новости в выбранной категории. Если новостей в выбранной категории нет, появляется сообщение: There is nothing here yet... и кнопка REFRESH",да,Покрыт ручным тестом.  Может быть автоматизирован,,
9-CPFN-3,"Фильтрация новостей по категории c выбором начальной и конечной даты публикации в Control panel,  чек боксы Active и Not active отмечены","Выбирается категория новости, начальная и конечная даты публикации",Высокий,"- Полльзователь авторизован в приложении
- Открыта страница Control panel на основном экране
- Видна панель управления страницы Control panel","-  Кликнуть по кнопке фильтрации новостей в панели управления страницы Control panel (три горизонтальные полоски с кружками)
-  Кликнуть по полю Category
-  В раскрывшемся списке выбрать одну из категорий (пусть это будет Праздник)
- Кликнуть по полю началной даты, в раскрывшемся календаре выбрать  дату
- Кликнуть по полю конечной даты, в раскрывшемся календаре выбрать дату
- чек бокс Active отмечен по умолчанию
- чек бокс Not active отмечен по умолчанию
- Кликнуть по кнопке FILTER","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
- поле Category принимает значение
- поле начальной даты принимает значение
- поле конечной даты принимает значение
- чек бокс Active отмечен
- чек бокс Not active отмечен 
- Отображается список новстей  если есть новости в выбранной категории и выбранном диапазоне дат. Если соответствующих новостей нет, появляется сообщение: There is nothing here yet... и кнопка REFRESH","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
- поле Category принимает значение
- поле начальной даты принимает значение
- поле конечной даты принимает значение
- чек бокс Active отмечен
- чек бокс Not active отмечен 
- Отображается список новстей, если есть новости в выбранной категории и выбранном диапазоне дат. Если соответствующих новостей нет, появляется сообщение: There is nothing here yet... и кнопка REFRESH",да,Покрыт ручным тестом.  Может быть автоматизирован,,
9-CPFN-4,"Фильтрация новостей по категории c выбором только начальной  даты публикации в Control pane,  чек боксы Active и Njt active отмеченыl","Выбирается категория новости, только начальная  дата публикации",Средний,"- Полльзователь авторизован в приложении
- Открыта страница Control panel на основном экране
- Видна панель управления страницы Control panel","-  Кликнуть по кнопке фильтрации новостей в панели управления страницы Control panel (три горизонтальные полоски с кружками)
-  Кликнуть по полю Category
-  В раскрывшемся списке выбрать одну из категорий (пусть это будет Праздник)
- Кликнуть по полю началной даты, в раскрывшемся календаре выбрать  дату
- В поле конечной даты ничего не выбирается
- чек бокс Active отмечен по умолчанию
- чек бокс Not active отмечен по умолчанию
- Кликнуть по кнопке FILTER
","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
- поле Category принимает значение
- поле начальной даты принимает значение
- поле конечной даты остаёётся без даты
- чек бокс Active отмечен
- чек бокс Not active отмечен 
- появляется сообщение Wrong period
","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
- поле Category принимает значение
- поле начальной даты принимает значение
- поле конечной даты остаёётся без даты
- чек бокс Active отмечен
- чек бокс Not active отмечен 
- появляется сообщение Wrong period",да,Покрыт ручным тестом.  Может быть автоматизирован,,
9-CPFN-5,"Фильтрация новостей по категории c выбором только конечной даты публикации в Control pane, чек боксы Active и Nojt active отмечены","Выбирается категория новости, только конечная дата публикации",Средний,"- Полльзователь авторизован в приложении
- Открыта страница Control panel на основном экране
- Видна панель управления страницы Control panel","-  Кликнуть по кнопке фильтрации новостей в панели управления страницы Control panel (три горизонтальные полоски с кружками)
-  Кликнуть по полю Category
-  В раскрывшемся списке выбрать одну из категорий (пусть это будет Праздник)
- В поле началной даты ничего не выбирается
- Кликнуть по полю конечной даты, в раскрывшемся календаре выбрать дату
- чек бокс Active отмечен по умолчанию
- чек бокс Not active отмечен по умолчанию
- Кликнуть по кнопке FILTER
","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
- поле Category принимает значение
- поле начальной даты остается без даты
- поле конечной даты принимает значение
- чек бокс Active отмечен
- чек бокс Not active отмечен 
- появляется сообщение Wrong period с кнопrой подтверждения OK

","- Открывается форма Filter news. Отображаеттся панель Category, поле выбора начальной даты, поле выбора конечной даты, кнопка FILTER, кнопка Cancel 
- поле Category принимает значение
- поле начальной даты остается без даты
- поле конечной даты принимает значение
- чек бокс Active отмечен
- чек бокс Not active отмечен 
- появляется сообщение Wrong period c кнопrой подтверждения OK",да,Покрыт ручным тестом.  Может быть автоматизирован,,
10-L Цитаты Love is all,,,,,,,,,,,
10-L-1,Открытие списка цитат на странице Love is all,,Высокий,"- Полльзователь авторизован в приложении
- Открыта страница Main на основном экране
- Видна верхняя панель управления страницы 
- В приложении есть загруженные цитаты (хотя бы одна)","- Кликнуть иконку Бабочка в верхней панели приложения
",- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат,- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат,да,Покрыт ручным тестом.  Может быть автоматизирован,,
10-L-2,Открытие полного текста  цитаты на странице Love is al при клике по панели сзаголовком цитатыl,,Высокий,"- Полльзователь авторизован в приложении
- Открыта страница Main на основном экране
- Видна верхняя панель управления страницы
- В приложении есть загруженные цитаты (хотя бы одна) ","- Кликнуть иконку Бабочка в верхней панели приложения
- В раскрывшемя наборе панелнй кликнуть по панели с заголовком цитаты
","- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат
- Открывается текст цитаты для чтения","- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат
- Открывается текст цитаты для чтения",да,Покрыт ручным тестом.  Может быть автоматизирован,,
10-L-3,Закрытие полного текста  цитаты на странице Love is al при повторном клике по панели сзаголовком цитаты,,Средний,"- Полльзователь авторизован в приложении
- Открыта страница Main на основном экране
- Видна верхняя панель управления страницы
- В приложении есть загруженные цитаты (хотя бы одна) ","- Кликнуть иконку Бабочка в верхней панели приложения
- В раскрывшемя наборе панелей кликнуть по карточке с заголовком цитаты
- Повторно кликнуть по карточке с цитатойй (с раскрывшимся текстом цитаты)","- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат
- Открывается текст цитаты для чтения
-  Карточка возвращается в исходное свёрнутое состояние (виден только заголовок)","- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат
- Открывается текст цитаты для чтения
-  Карточка возвращается в исходное свёрнутое состояние (виден только заголовок)",да,Покрыт ручным тестом.  Может быть автоматизирован,,
10-L-4,Возвращение на предыдущую открытую траницу со страницы Lowe is all  при повторном клике на иконку Бабочка в верхней панели приложения,,Высокий,"- Полльзователь авторизован в приложении
- Открыта страница Main на основном экране
- Видна верхняя панель управления страницы 
- В приложении есть загруженные цитаты (хотя бы одна)","- Кликнуть иконку Бабочка в верхней панели приложения
- Повторно кликнуть иконку Бабочка в верхней панели приложения","- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат
- Переход на предыдущую открытую страницу (Main)","- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат
- Нет перехода на предыдущую открытую страницу (Main)
 На главном экране приложения отображается набор раскрывающихся панелей с заголовками цитат",нет,Покрыт ручным тестом.  Может быть автоматизирован,,
10-L-5,Переход со страницы Love is all  на предыдущую открытую страницу Swipe right,,Средний,"- Полльзователь авторизован в приложении
- Открыта страница Main на основном экране
- Видна верхняя панель управления страницы 
- В приложении есть загруженные цитаты (хотя бы одна)
",-  Выполнить жест «смахивание вправо» (от левого края экрана к правому или просто по экрану ,"- Приложение возвращается на тот экран, который был открыт до раздела цитат (например, на главный экран новостей).
- Раздел цитат закрывается","- Приложение возвращается на тот экран, который был открыт до раздела цитат (например, на главный экран новостей).
- Раздел цитат закрывается",да,Покрыт ручным тестом.  Может быть автоматизирован,,
10-L-6,Переход со страницы Love is на предыдущую открытую страницу Swipe left,,Средний,"- Полльзователь авторизован в приложении
- Открыта страница Main на основном экране
- Видна верхняя панель управления страницы 
- В приложении есть загруженные цитаты (хотя бы одна)
", - Выполнить жест «смахивание влево» по любой карточке цитаты или по пустой области экрана,"- Приложение не падает, не зависает.
-  Не происходит необратимых действий (например, удаления) без диалога подтверждения.
- Жест либо игнорируется, либо выполняет задокументированное действие.","- Приложение возвращается на тот экран, который был открыт до раздела цитат (например, на главный экран новостей).
- Раздел цитат закрывается","? Нет требований, какой должен быть ожидаемый результат можно только предположить",,,
10-L-7,Переход со страницы Love is all на страницу Main через панель управления (иконку с тремя полосками),,Высокий,"- Полльзователь авторизован в приложении
- Открыта страница Main на основном экране
- Видна верхняя панель управления страницы 
- В приложении есть загруженные цитаты (хотя бы одна)
","- Кликнуть иконку Бабочка в верхней панели приложения
- В верхней панели приложения кликнуть иконку с тремя пполосками 
- В раскрывшемся списке выбрать Main","- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цита
- Страница цитат закрывается
- Открывается  страница Main","- На главном экране приложения отображается набор раскрывающихся панелей с заголовками цита
- Страница цитат закрывается
- Открывается  страница Main",да,,,
